title_id;title;type;release_year;age_certification;runtime;genres;production_countries;imdb_id;imdb_score;imdb_votes;seasons
tm9323;Desperado;MOVIE;1995;R;104;['thriller', 'action', 'crime', 'western', 'european'];['US'];tt0112851;71;1836380;0
tm46173;The Mask of Zorro;MOVIE;1998;PG-13;136;['action', 'thriller', 'western', 'comedy', 'romance'];['US'];tt0120746;68;1813060;0
tm19673;The Patriot;MOVIE;2000;R;165;['drama', 'action', 'history', 'war'];['DE', 'US'];tt0187393;72;2702310;0
tm24877;Road Trip;MOVIE;2000;R;93;['comedy'];['US'];tt0215129;65;1676700;0
tm189433;Free Willy;MOVIE;1993;PG;112;['drama', 'family'];['US', 'FR'];tt0106965;60;752440;0
ts251477;My First Errand;SHOW;1991;TV-G;19;['reality'];['JP'];;;;120
tm1822;3 Ninjas Kick Back;MOVIE;1994;PG;93;['action', 'comedy', 'family', 'sport'];['US', 'JP'];tt15327306;45;92080;0
tm187791;In the Line of Fire;MOVIE;1993;R;128;['drama', 'thriller', 'action', 'crime'];['US'];tt0107206;72;1019390;0
tm19494;The Replacements;MOVIE;2000;PG-13;118;['comedy', 'sport'];['US'];tt0191397;66;640870;0
tm10739;Johnny Mnemonic;MOVIE;1995;R;97;['scifi', 'thriller', 'action', 'drama'];['US', 'CA'];tt0113481;56;710620;0
tm113576;Little Women;MOVIE;1994;PG;115;['drama', 'family', 'romance'];['US'];tt0110367;73;576210;0
tm191387;Anaconda;MOVIE;1997;PG-13;89;['thriller', 'horror', 'action'];['PE', 'US', 'BR'];tt0118615;48;1034590;0
tm6859;My Girl;MOVIE;1991;PG;103;['comedy', 'drama', 'family', 'romance', 'european'];['US'];tt0102492;69;798000;0
tm186589;Cliffhanger;MOVIE;1993;R;112;['thriller', 'action', 'animation'];['IT', 'US', 'FR'];tt0106582;65;1281790;0
tm191374;I Know What You Did Last Summer;MOVIE;1997;R;101;['horror', 'thriller'];['US'];tt0119345;57;1426960;0
tm8446;Teenage Mutant Ninja Turtles II: The Secret of the Ooze;MOVIE;1991;PG;88;['scifi', 'action', 'comedy', 'family'];['US', 'HK'];tt0103060;60;554990;0
ts8570;Barney & Friends;SHOW;1992;TV-G;28;['family'];['US'];tt0144701;38;99550;140
tm21596;Hollow Man;MOVIE;2000;R;112;['scifi', 'action', 'horror', 'thriller'];['DE', 'US'];tt0164052;58;1300990;0
tm48430;Godzilla;MOVIE;1998;PG-13;133;['thriller', 'scifi', 'action'];['US'];tt0120685;54;1917220;0
tm190835;Neon Genesis Evangelion: The End of Evangelion;MOVIE;1997;Unknown;87;['scifi', 'action', 'drama', 'fantasy', 'animation'];['JP'];tt0169858;80;519380;0
tm192199;Spawn;MOVIE;1997;PG-13;96;['fantasy', 'horror', 'scifi', 'thriller', 'action', 'drama'];['US'];tt0120177;52;677610;0
tm184205;Dennis the Menace;MOVIE;1993;PG;95;['comedy', 'family'];['US'];tt0106701;56;607790;0
tm12499;The Net;MOVIE;1995;PG-13;114;['thriller', 'action', 'crime', 'drama'];['US'];tt0113957;59;661270;0
tm192431;The Devil's Own;MOVIE;1997;R;107;['thriller', 'drama', 'action', 'crime', 'european'];['US'];tt0962637;62;646250;0
tm56033;Croupier;MOVIE;1998;R;94;['thriller', 'european', 'crime', 'drama'];['FR', 'IE', 'GB', 'DE'];tt0159382;70;213820;0
